"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS4X2",3.39138210020331e-15,0.29549263989021,1,0.964,8.2685286985057e-11,"7","RPS4X"
"EIF4A12",3.62128164945902e-15,0.415961546614548,0.991,0.937,8.82904678954603e-11,"7","EIF4A1"
"MYL12A2",4.13937656160251e-15,0.497165144395731,0.881,0.72,1.00922139948431e-10,"7","MYL12A"
"RPS22",4.24104575184971e-15,0.338185920728319,0.995,0.973,1.03400936475848e-10,"7","RPS2"
"ARL4C2",4.42952878290091e-15,0.670982420473031,0.844,0.608,1.07996341255907e-10,"7","ARL4C"
"VMP11",5.82759771705958e-15,0.67068397200739,0.936,0.786,1.4208265993963e-10,"7","VMP1"
"BHLHE403",6.88796451561124e-15,0.370070011785095,0.596,0.333,1.67935462855118e-10,"7","BHLHE40"
"MT-ND11",7.73574789246515e-15,0.446000262861244,0.968,0.93,1.88605269366193e-10,"7","MT-ND1"
"MT-ND42",7.78662797704735e-15,0.381065164790884,0.982,0.968,1.89845776708391e-10,"7","MT-ND4"
"SNX93",7.87020961508398e-15,1.06480637717681,0.537,0.306,1.91883580625363e-10,"7","SNX9"
"TTYH31",8.97590758638775e-15,0.956333266210191,0.573,0.331,2.1884160286372e-10,"7","TTYH3"
"YBX33",9.43390917917044e-15,0.839714550932099,0.798,0.538,2.30008139697354e-10,"7","YBX3"
"ATP6V0B3",1.02642431863195e-14,0.484948059601253,0.963,0.864,2.50252513125656e-10,"7","ATP6V0B"
"CKLF",1.1874927540555e-14,0.957218515603456,0.642,0.429,2.89522608366272e-10,"7","CKLF"
"CD811",1.72330927961512e-14,0.452102205563449,0.991,0.908,4.20160035462962e-10,"7","CD81"
"ZC3H12A1",1.74945033631736e-14,1.14404807501938,0.358,0.156,4.26533486497536e-10,"7","ZC3H12A"
"ARL5B",2.41867000977557e-14,1.59973966034942,0.413,0.21,5.89695935083382e-10,"7","ARL5B"
"PPP1R181",2.46408712757966e-14,0.941161885446831,0.55,0.315,6.00769082575197e-10,"7","PPP1R18"
"CSTB1",2.57682808621295e-14,0.320195659216359,0.908,0.774,6.28256455699578e-10,"7","CSTB"
"TENT5A1",4.30778408122527e-14,1.03431769927621,0.505,0.274,1.05028083684353e-09,"7","TENT5A"
"RPL51",5.23702593056472e-14,0.337880604782601,0.982,0.948,1.27683929213098e-09,"7","RPL5"
"RNF19B",5.37951420556163e-14,1.33126664222896,0.413,0.203,1.31157935845798e-09,"7","RNF19B"
"SOCS6",5.42688359628138e-14,1.41450895112614,0.385,0.187,1.32312848960936e-09,"7","SOCS6"
"EGR2",5.51842693683282e-14,1.51197474297829,0.39,0.193,1.34544767146921e-09,"7","EGR2"
"CD581",8.23907333845207e-14,1.39840540119013,0.344,0.157,2.008768470648e-09,"7","CD58"
"HBEGF3",8.60728830750379e-14,0.973236017430579,0.601,0.367,2.0985429622525e-09,"7","HBEGF"
"DNTTIP2",9.48528570231348e-14,0.887304370541416,0.642,0.422,2.31260750708105e-09,"7","DNTTIP2"
"GNG102",1.03413422458017e-13,0.723955139132709,0.839,0.651,2.52132265294892e-09,"7","GNG10"
"PPP1R15A3",1.04587879366426e-13,0.651693051659273,0.959,0.812,2.54995708683283e-09,"7","PPP1R15A"
